seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	14309905	14310067	163	*	Promoter (<=1kb)	1	14301204	14310051	8848	2	14048	ENSMUST00000185329.1	0
chr1	15286478	15287184	707	*	Promoter (<=1kb)	1	15287254	15712548	425295	1	98741	ENSMUST00000175681.2	-70
chr1	15287273	15287438	166	*	Promoter (<=1kb)	1	15287254	15712548	425295	1	98741	ENSMUST00000175681.2	19
chr1	16518550	16519581	1032	*	Promoter (<=1kb)	1	16228674	16519306	290633	2	29819	ENSMUST00000162751.7	0
chr1	16519690	16520232	543	*	Promoter (<=1kb)	1	16228816	16520112	291297	2	29819	ENSMUST00000162435.7	0
chr1	17096706	17097924	1219	*	Promoter (<=1kb)	1	16994938	17097889	102952	2	57339	ENSMUST00000038382.4	0
chr1	20890302	20891408	1107	*	Promoter (<=1kb)	1	20890606	20939650	49045	1	74229	ENSMUST00000189400.6	0
chr1	21078265	21079096	832	*	Promoter (<=1kb)	1	20996299	21079229	82931	2	170829	ENSMUST00000037998.5	133
chr1	21960894	21961652	759	*	Promoter (<=1kb)	1	21398403	21961581	563179	2	226922	ENSMUST00000029667.12	0
chr1	22533343	22533654	312	*	Exon (ENSMUST00000081544.12/116837, exon 9 of 32)	1	22288422	22432843	144422	2	116837	ENSMUST00000185942.1	-100500
chr1	23762306	23762825	520	*	Promoter (<=1kb)	1	23762011	23815739	53729	1	280645	ENSMUST00000140583.1	295
chr1	23959377	23959538	162	*	Distal Intergenic	1	23845625	23922317	76693	2	98366	ENSMUST00000027339.13	-37060
chr1	24099211	24100325	1115	*	Promoter (<=1kb)	1	24011245	24100194	88950	2	68187	ENSMUST00000187752.6	0
chr1	24100584	24100832	249	*	Promoter (<=1kb)	1	24051764	24100341	48578	2	68187	ENSMUST00000185525.1	-243
chr1	33719689	33720925	1237	*	Promoter (<=1kb)	1	33719887	33723837	3951	1	19335	ENSMUST00000195006.5	0
chr1	33721026	33721372	347	*	Promoter (<=1kb)	1	33720407	33742561	22155	1	19335	ENSMUST00000115174.3	619
chr1	33906966	33908875	1910	*	Promoter (<=1kb)	1	33908225	34307592	399368	1	13518	ENSMUST00000183034.4	0
chr1	34005873	34006274	402	*	Promoter (<=1kb)	1	34005880	34174795	168916	1	13518	ENSMUST00000187486.6	0
chr1	34011073	34012137	1065	*	Promoter (<=1kb)	1	34011813	34308652	296840	1	13518	ENSMUST00000097786.9	0
chr1	34236202	34236639	438	*	Promoter (<=1kb)	1	34236596	34274283	37688	1	13518	ENSMUST00000194192.2	0
chr1	34237380	34237591	212	*	Promoter (<=1kb)	1	34236596	34274283	37688	1	13518	ENSMUST00000194192.2	784
chr1	34237645	34237997	353	*	Promoter (1-2kb)	1	34236596	34274283	37688	1	13518	ENSMUST00000194192.2	1049
chr1	34459044	34460434	1391	*	Promoter (<=1kb)	1	34459765	34473784	14020	1	19253	ENSMUST00000027302.13	0
chr1	34472487	34473477	991	*	Promoter (<=1kb)	1	34472720	34475733	3014	1	19253	ENSMUST00000188972.2	0
chr1	36307751	36308995	1245	*	Promoter (<=1kb)	1	36307754	36317442	9689	1	214855	ENSMUST00000142319.7	0
chr1	36369274	36369703	430	*	Promoter (<=1kb)	1	36335730	36369181	33452	2	226976	ENSMUST00000010597.9	-93
chr1	36471761	36472686	926	*	Promoter (<=1kb)	1	36471620	36508764	37145	1	94220	ENSMUST00000153128.1	141
chr1	36473222	36473538	317	*	Promoter (1-2kb)	1	36471620	36508764	37145	1	94220	ENSMUST00000153128.1	1602
chr1	36473670	36473899	230	*	Promoter (2-3kb)	1	36471620	36508764	37145	1	94220	ENSMUST00000153128.1	2050
chr1	36555990	36556260	271	*	Promoter (1-2kb)	1	36548642	36557526	8885	2	20353	ENSMUST00000191642.5	1266
chr1	36556436	36558415	1980	*	Promoter (<=1kb)	1	36548639	36558349	9711	2	20353	ENSMUST00000191677.5	0
chr1	37029237	37029503	267	*	Promoter (<=1kb)	1	37029304	37063649	34346	1	70853	ENSMUST00000124404.7	0
chr1	37299899	37300842	944	*	Promoter (<=1kb)	1	37299915	37399557	99643	1	269180	ENSMUST00000140264.7	0
chr1	37540196	37541668	1473	*	Promoter (<=1kb)	1	37439340	37541016	101677	2	269181	ENSMUST00000151952.7	0
chr1	37719470	37719707	238	*	Promoter (<=1kb)	1	37637986	37719795	81810	2	72097	ENSMUST00000160589.1	88
chr1	37719862	37720164	303	*	Promoter (<=1kb)	1	37611677	37720085	108409	2	72097	ENSMUST00000162875.7	0
chr1	38626943	38627137	195	*	Promoter (<=1kb)	1	38177326	38627185	449860	2	16764	ENSMUST00000095027.8	48
chr1	38627662	38627938	277	*	Promoter (<=1kb)	1	38177326	38627201	449876	2	16764	ENSMUST00000238906.1	-461
chr1	38835613	38836046	434	*	Promoter (<=1kb)	1	38793645	38836711	43067	2	381338	ENSMUST00000147695.8	665
chr1	38836134	38836614	481	*	Promoter (<=1kb)	1	38793645	38836711	43067	2	381338	ENSMUST00000147695.8	97
chr1	38897812	38898294	483	*	Promoter (<=1kb)	1	38863867	38898010	34144	2	98388	ENSMUST00000027249.11	0
chr1	39192459	39192626	168	*	Promoter (1-2kb)	1	39193731	39287615	93885	1	18143	ENSMUST00000173050.7	-1105
chr1	39193002	39193383	382	*	Promoter (<=1kb)	1	39193731	39287615	93885	1	18143	ENSMUST00000173050.7	-348
chr1	39193477	39194305	829	*	Promoter (<=1kb)	1	39193731	39287615	93885	1	18143	ENSMUST00000173050.7	0
chr1	39367120	39367389	270	*	Promoter (<=1kb)	1	39367842	39371911	4070	1	114641	ENSMUST00000086535.11	-453
chr1	39477713	39477883	171	*	Promoter (<=1kb)	1	39372296	39478661	106366	2	54610	ENSMUST00000192531.5	778
chr1	39477955	39478205	251	*	Promoter (<=1kb)	1	39372296	39478661	106366	2	54610	ENSMUST00000192531.5	456
chr1	39650296	39651003	708	*	Promoter (<=1kb)	1	39618406	39651474	33069	2	263764	ENSMUST00000053355.5	471
chr1	39720672	39720982	311	*	Promoter (<=1kb)	1	39665301	39720997	55697	2	619289	ENSMUST00000151913.2	15
chr1	39721054	39721294	241	*	Promoter (<=1kb)	1	39665301	39720997	55697	2	619289	ENSMUST00000151913.2	-57
chr1	39900255	39902400	2146	*	Promoter (<=1kb)	1	39900913	40026310	125398	1	26921	ENSMUST00000163854.8	0
chr1	40266438	40267764	1327	*	Promoter (<=1kb)	1	40266586	40316201	49616	1	16177	ENSMUST00000114795.2	0
chr1	40324486	40324821	336	*	Promoter (<=1kb)	1	40324610	40329441	4832	1	107527	ENSMUST00000192551.1	0
chr1	40324945	40326777	1833	*	Promoter (<=1kb)	1	40325611	40329171	3561	1	107527	ENSMUST00000193388.1	0
chr1	40680955	40681417	463	*	Promoter (<=1kb)	1	40681597	40727681	46085	1	226999	ENSMUST00000192345.1	-180
chr1	40681652	40681847	196	*	Promoter (<=1kb)	1	40681597	40727681	46085	1	226999	ENSMUST00000192345.1	55
chr1	42953364	42953643	280	*	Promoter (<=1kb)	1	42953139	43030781	77643	1	93690	ENSMUST00000179655.1	225
chr1	43163499	43163909	411	*	Promoter (<=1kb)	1	43123074	43163961	40888	2	14200	ENSMUST00000008280.13	52
chr1	44042299	44042533	235	*	Distal Intergenic	1	44010510	44020034	9525	2	433294	ENSMUST00000159881.1	-22265
chr1	44551673	44552265	593	*	Promoter (<=1kb)	1	44551693	44788874	237182	1	70676	ENSMUST00000160854.7	0
chr1	51477348	51478111	764	*	Promoter (<=1kb)	1	51466007	51478067	12061	2	109019	ENSMUST00000186003.6	0
chr1	51914930	51916085	1156	*	Promoter (<=1kb)	1	51749765	51916071	166307	2	17912	ENSMUST00000046390.13	0
chr1	52233968	52234091	124	*	Promoter (<=1kb)	1	52184104	52233232	49129	2	14660	ENSMUST00000114510.7	-736
chr1	52499097	52500372	1276	*	Promoter (<=1kb)	1	52457294	52500300	43007	2	17936	ENSMUST00000186764.6	0
chr1	52500587	52501067	481	*	Promoter (<=1kb)	1	52457294	52500679	43386	2	17936	ENSMUST00000069792.13	0
chr1	52726502	52727529	1028	*	Promoter (<=1kb)	1	52656286	52727462	71177	2	98682	ENSMUST00000156876.7	0
chr1	52816995	52817859	865	*	Promoter (<=1kb)	1	52785427	52817688	32262	2	16329	ENSMUST00000027271.8	0
chr1	52952201	52953460	1260	*	Promoter (<=1kb)	1	52922324	52952844	30521	2	67080	ENSMUST00000050567.10	0
chr1	54194226	54195181	956	*	Promoter (<=1kb)	1	53806882	54195034	388153	2	329152	ENSMUST00000087659.10	0
chr1	54556878	54557830	953	*	Promoter (<=1kb)	1	54472994	54557682	84689	2	241062	ENSMUST00000097739.4	0
chr1	54557956	54558118	163	*	Promoter (<=1kb)	1	54524284	54557684	33401	2	241062	ENSMUST00000185817.1	-272
chr1	54925443	54926826	1384	*	Promoter (<=1kb)	1	54645340	54926387	281048	2	329154	ENSMUST00000179030.7	0
chr1	55363251	55363932	682	*	Promoter (<=1kb)	1	55300069	55363319	63251	2	75388	ENSMUST00000087585.9	0
chr1	55405800	55406562	763	*	Promoter (<=1kb)	1	55405921	55754285	348365	1	227120	ENSMUST00000042986.9	0
chr1	56972082	56973883	1802	*	Promoter (<=1kb)	1	56793981	56972502	178522	2	212712	ENSMUST00000042857.13	0
chr1	57774098	57774287	190	*	Promoter (<=1kb)	1	57774162	57885768	111607	1	67198	ENSMUST00000172287.7	0
chr1	57774339	57775917	1579	*	Promoter (<=1kb)	1	57774365	57946964	172600	1	67198	ENSMUST00000163239.7	0
chr1	59481064	59481766	703	*	Promoter (<=1kb)	1	59482424	59486955	4532	1	14369	ENSMUST00000114246.3	-658
chr1	59482097	59484165	2069	*	Promoter (<=1kb)	1	59482424	59486955	4532	1	14369	ENSMUST00000114246.3	0
chr1	59484220	59484520	301	*	Promoter (1-2kb)	1	59482424	59486955	4532	1	14369	ENSMUST00000114246.3	1796
chr1	59484592	59484819	228	*	Promoter (2-3kb)	1	59482424	59486955	4532	1	14369	ENSMUST00000114246.3	2168
chr1	59484885	59485073	189	*	Promoter (2-3kb)	1	59482424	59486955	4532	1	14369	ENSMUST00000114246.3	2461
chr1	59762296	59763235	940	*	Promoter (<=1kb)	1	59763400	59879014	115615	1	12168	ENSMUST00000087435.6	-165
chr1	59763762	59764238	477	*	Promoter (<=1kb)	1	59763400	59879014	115615	1	12168	ENSMUST00000087435.6	362
chr1	59764298	59765343	1046	*	Promoter (<=1kb)	1	59763400	59879014	115615	1	12168	ENSMUST00000087435.6	898
chr1	60042588	60043543	956	*	Promoter (<=1kb)	1	59989068	60043087	54020	2	70375	ENSMUST00000027172.12	0
chr1	60408947	60409476	530	*	Promoter (<=1kb)	1	60409619	60481158	71540	1	329165	ENSMUST00000052332.14	-143
chr1	60409736	60410270	535	*	Promoter (<=1kb)	1	60409781	60444778	34998	1	329165	ENSMUST00000191493.1	0
chr1	60564846	60564993	148	*	Promoter (1-2kb)	1	60483236	60566765	83530	2	77300	ENSMUST00000027168.11	1772
chr1	60565199	60567485	2287	*	Promoter (<=1kb)	1	60482292	60566779	84488	2	77300	ENSMUST00000140485.7	0
chr1	61638448	61638814	367	*	Promoter (<=1kb)	1	61638824	62078259	439436	1	72823	ENSMUST00000138768.7	-10
chr1	61638921	61639694	774	*	Promoter (<=1kb)	1	61639243	62637923	998681	1	72823	ENSMUST00000046673.10	0
chr1	62703012	62703805	794	*	Promoter (<=1kb)	1	62703285	62739932	36648	1	18187	ENSMUST00000126344.1	0
chr1	62706456	62706864	409	*	Promoter (2-3kb)	1	62703702	62818695	114994	1	18187	ENSMUST00000114157.2	2754
chr1	62706929	62707138	210	*	Intron (ENSMUST00000126344.1/18187, intron 1 of 2)	1	62703702	62818695	114994	1	18187	ENSMUST00000114157.2	3227
chr1	63273188	63273670	483	*	Promoter (<=1kb)	1	63273265	63314576	41312	1	73884	ENSMUST00000114132.7	0
chr1	64119190	64119811	622	*	Promoter (1-2kb)	1	64041926	64121482	79557	2	93691	ENSMUST00000055001.9	1671
chr1	64119948	64122345	2398	*	Promoter (<=1kb)	1	64029447	64121491	92045	2	93691	ENSMUST00000114086.7	0
chr1	64691344	64692339	996	*	Promoter (<=1kb)	1	64691345	64725640	34296	1	227210	ENSMUST00000094898.4	0
chr1	64735200	64736090	891	*	Promoter (1-2kb)	1	64734469	64737749	3281	2	14367	ENSMUST00000116133.3	1659
chr1	66174944	66175171	228	*	Promoter (<=1kb)	1	66175273	66380617	205345	1	17756	ENSMUST00000156636.8	-102
chr1	66175341	66175772	432	*	Promoter (<=1kb)	1	66175471	66322439	146969	1	17756	ENSMUST00000124873.7	0
chr1	69685555	69686390	836	*	Promoter (<=1kb)	1	69531214	69685821	154608	2	22779	ENSMUST00000027146.8	0
chr1	69686561	69687330	770	*	Promoter (<=1kb)	1	69538582	69687245	148664	2	22779	ENSMUST00000187184.6	0
chr1	69687518	69688465	948	*	Promoter (<=1kb)	1	69538582	69687245	148664	2	22779	ENSMUST00000187184.6	-273
chr1	71651393	71652144	752	*	Promoter (<=1kb)	1	71652837	71657457	4621	1	100042814	ENSMUST00000097699.2	-693
chr1	71652305	71654263	1959	*	Promoter (<=1kb)	1	71652837	71657457	4621	1	100042814	ENSMUST00000097699.2	0
chr1	72211075	72211336	262	*	Promoter (<=1kb)	1	72159442	72212307	52866	2	381269	ENSMUST00000048860.8	971
chr1	72211461	72212479	1019	*	Promoter (<=1kb)	1	72159442	72212307	52866	2	381269	ENSMUST00000048860.8	0
chr1	72225564	72226021	458	*	Distal Intergenic	1	72159442	72212307	52866	2	381269	ENSMUST00000048860.8	-13257
chr1	72236326	72236786	461	*	Distal Intergenic	1	72159442	72212307	52866	2	381269	ENSMUST00000048860.8	-24019
chr1	72284048	72284559	512	*	Promoter (<=1kb)	1	72259167	72284259	25093	2	111175	ENSMUST00000134840.7	0
chr1	72824507	72824889	383	*	Promoter (<=1kb)	1	72824503	72852474	27972	1	16008	ENSMUST00000047328.10	4
chr1	74036493	74037259	767	*	Promoter (<=1kb)	1	73993163	74037133	43971	2	21961	ENSMUST00000187281.6	0
chr1	74068285	74069006	722	*	Exon (ENSMUST00000169786.7/21961, exon 3 of 35)	1	73910232	74091351	181120	2	21961	ENSMUST00000187584.6	22345
chr1	74124226	74125276	1051	*	Promoter (<=1kb)	1	73910231	74124447	214217	2	21961	ENSMUST00000169786.7	0
chr1	74332426	74333335	910	*	Promoter (<=1kb)	1	74332610	74353686	21077	1	56695	ENSMUST00000087225.5	0
chr1	74367967	74368109	143	*	Intron (ENSMUST00000097697.7/241112, intron 8 of 9)	1	74364531	74366742	2212	1	241112	ENSMUST00000186688.1	3436
chr1	74368158	74368586	429	*	Exon (ENSMUST00000097697.7/241112, exon 9 of 10)	1	74364531	74366742	2212	1	241112	ENSMUST00000186688.1	3627
chr1	74713180	74714057	878	*	Promoter (<=1kb)	1	74713574	74737892	24319	1	104086	ENSMUST00000027356.6	0
chr1	74949473	74952127	2655	*	Promoter (<=1kb)	1	74945315	74951672	6358	2	16147	ENSMUST00000164097.3	0
chr1	75219348	75220166	819	*	Promoter (<=1kb)	1	75216857	75219865	3009	2	22145	ENSMUST00000186758.6	0
chr1	75360534	75360680	147	*	Promoter (<=1kb)	1	75360329	75368579	8251	1	13346	ENSMUST00000027409.9	205
chr1	75445829	75446945	1117	*	Distal Intergenic	1	75450436	75474340	23905	1	241118	ENSMUST00000113577.7	-3491
chr1	75447572	75447910	339	*	Promoter (2-3kb)	1	75450436	75474340	23905	1	241118	ENSMUST00000113577.7	-2526
chr1	75450213	75450900	688	*	Promoter (<=1kb)	1	75450436	75474340	23905	1	241118	ENSMUST00000113577.7	0
chr1	75458451	75458797	347	*	Intron (ENSMUST00000113577.7/241118, intron 1 of 8)	1	75450699	75474343	23645	1	241118	ENSMUST00000037708.9	7752
chr1	75477258	75478144	887	*	Promoter (<=1kb)	1	75474576	75478746	4171	2	74241	ENSMUST00000143496.7	602
chr1	75478291	75480111	1821	*	Promoter (<=1kb)	1	75479532	75485693	6162	1	319998	ENSMUST00000113575.8	0
chr1	75487292	75488060	769	*	Promoter (<=1kb)	1	75486851	75487802	952	2	98733	ENSMUST00000154636.1	0
chr1	75505125	75506525	1401	*	Promoter (<=1kb)	1	75485825	75506361	20537	2	98733	ENSMUST00000113567.8	0
chr1	75546261	75546867	607	*	Promoter (<=1kb)	1	75546266	75562172	15907	1	20536	ENSMUST00000124341.7	0
chr1	77514409	77515192	784	*	Promoter (<=1kb)	1	77367185	77515088	147904	2	13838	ENSMUST00000027451.12	0
chr1	77515265	77515792	528	*	Promoter (<=1kb)	1	77373139	77515088	141950	2	13838	ENSMUST00000188797.6	-177
chr1	78537523	78537940	418	*	Promoter (<=1kb)	1	78537628	78538173	546	1	68393	ENSMUST00000125458.1	0
chr1	79671509	79672152	644	*	Promoter (<=1kb)	1	79606876	79671972	65097	2	252903	ENSMUST00000162342.7	0
chr1	79760741	79760930	190	*	Promoter (<=1kb)	1	79733620	79761721	28102	2	69368	ENSMUST00000186464.1	791
chr1	79858149	79858652	504	*	Promoter (<=1kb)	1	79794197	79858696	64500	2	20720	ENSMUST00000027467.10	44
chr1	79858788	79858990	203	*	Promoter (<=1kb)	1	79815108	79858696	43589	2	20720	ENSMUST00000153862.1	-92
chr1	80758078	80758774	697	*	Promoter (<=1kb)	1	80501073	80758448	257376	2	210293	ENSMUST00000077946.11	0
chr1	82283993	82284160	168	*	Intron (ENSMUST00000069799.2/16367, intron 1 of 1)	1	82233101	82291416	58316	2	16367	ENSMUST00000069799.2	7256
chr1	82286252	82286919	668	*	3' UTR	1	82233101	82291416	58316	2	16367	ENSMUST00000069799.2	4497
chr1	82287093	82287401	309	*	Exon (ENSMUST00000069799.2/16367, exon 1 of 2)	1	82233101	82291416	58316	2	16367	ENSMUST00000069799.2	4015
chr1	82289543	82292361	2819	*	Promoter (<=1kb)	1	82233101	82291416	58316	2	16367	ENSMUST00000069799.2	0
chr1	83038081	83038637	557	*	Promoter (<=1kb)	1	83012523	83038448	25926	2	80721	ENSMUST00000045560.14	0
chr1	86018294	86018705	412	*	Promoter (<=1kb)	1	86018068	86029248	11181	1	70060	ENSMUST00000149469.2	226
chr1	86045874	86047617	1744	*	Promoter (<=1kb)	1	86045863	86055456	9594	1	72792	ENSMUST00000165824.2	11
chr1	86302788	86304437	1650	*	Promoter (<=1kb)	1	86303195	86304059	865	2	102635143	ENSMUST00000187004.1	0
chr1	86442861	86443285	425	*	Distal Intergenic	1	86426329	86428052	1724	1	71863	ENSMUST00000046004.5	16532
chr1	86503641	86504814	1174	*	Distal Intergenic	1	86526726	86530712	3987	1	19231	ENSMUST00000045897.14	-21912
chr1	86669705	86669880	176	*	Promoter (<=1kb)	1	86666291	86670571	4281	2	18159	ENSMUST00000027449.5	691
chr1	86670054	86670479	426	*	Promoter (<=1kb)	1	86666291	86670571	4281	2	18159	ENSMUST00000027449.5	92
chr1	87186914	87187202	289	*	Exon (ENSMUST00000044533.8/69453, exon 10 of 13)	1	87190607	87191766	1160	1	11447	ENSMUST00000189970.1	-3405
chr1	87509856	87510364	509	*	Promoter (<=1kb)	1	87509889	87596670	86782	1	23956	ENSMUST00000166055.7	0
chr1	87510472	87510698	227	*	Promoter (<=1kb)	1	87476834	87510362	33529	2	53972	ENSMUST00000027477.14	-110
chr1	87852602	87852793	192	*	Promoter (<=1kb)	1	87853287	87944490	91204	1	227333	ENSMUST00000027517.13	-494
chr1	87854037	87854422	386	*	Promoter (<=1kb)	1	87853347	87854299	953	2	100503175	ENSMUST00000187511.1	0
chr1	88700135	88700718	584	*	Promoter (1-2kb)	1	88698225	88702221	3997	2	320982	ENSMUST00000159814.1	1503
chr1	88700979	88702651	1673	*	Promoter (<=1kb)	1	88698225	88702221	3997	2	320982	ENSMUST00000159814.1	0
chr1	89069504	89071228	1725	*	Promoter (<=1kb)	1	89070415	89155068	84654	1	98402	ENSMUST00000066279.10	0
chr1	89454090	89456164	2075	*	Promoter (<=1kb)	1	89454806	89897617	442812	1	347722	ENSMUST00000027521.14	0
chr1	89580262	89581380	1119	*	Promoter (<=1kb)	1	89580236	89895277	315042	1	347722	ENSMUST00000074945.7	26
chr1	89968299	89968632	334	*	Exon (ENSMUST00000238685.1/208372, exon 3 of 5)	1	89950220	89996452	46233	2	208372	ENSMUST00000238685.1	27820
chr1	90204224	90204566	343	*	Promoter (<=1kb)	1	90204006	90213833	9828	1	12778	ENSMUST00000159654.1	218
chr1	90205038	90205300	263	*	Promoter (1-2kb)	1	90204006	90213833	9828	1	12778	ENSMUST00000159654.1	1032
chr1	90207887	90208216	330	*	Intron (ENSMUST00000065587.4/12778, intron 1 of 1)	1	90204006	90213833	9828	1	12778	ENSMUST00000159654.1	3881
chr1	90208316	90208597	282	*	Intron (ENSMUST00000065587.4/12778, intron 1 of 1)	1	90204006	90213833	9828	1	12778	ENSMUST00000159654.1	4310
chr1	90998350	90999530	1181	*	Promoter (<=1kb)	1	90998737	91108640	109904	1	16978	ENSMUST00000189505.6	0
chr1	91052501	91053278	778	*	Promoter (<=1kb)	1	91053444	91128944	75501	1	16978	ENSMUST00000068167.12	-166
chr1	91053520	91054487	968	*	Promoter (<=1kb)	1	91053586	91128287	74702	1	16978	ENSMUST00000189617.2	0
chr1	91412194	91414610	2417	*	Promoter (<=1kb)	1	91411483	91413208	1726	2	55927	ENSMUST00000132188.7	0
chr1	91460323	91460406	84	*	Promoter (<=1kb)	1	91415982	91459324	43343	2	18627	ENSMUST00000069620.9	-999
chr1	92831733	92832318	586	*	Promoter (<=1kb)	1	92831969	92835677	3709	1	14733	ENSMUST00000191373.1	0
chr1	92911100	92911268	169	*	Promoter (<=1kb)	1	92911121	92916737	5617	1	108657	ENSMUST00000178116.7	0
chr1	93235846	93236522	677	*	Promoter (<=1kb)	1	93235851	93284507	48657	1	208777	ENSMUST00000172289.7	0
chr1	93512318	93512648	331	*	Promoter (<=1kb)	1	93512112	93581296	69185	1	227377	ENSMUST00000122402.2	206
chr1	93685684	93686096	413	*	Promoter (<=1kb)	1	93685702	93695210	9509	1	51800	ENSMUST00000201863.3	0
chr1	93686270	93686666	397	*	Promoter (<=1kb)	1	93686263	93694070	7808	1	51800	ENSMUST00000188394.1	7
chr1	93753590	93754274	685	*	Promoter (<=1kb)	1	93724649	93754650	30002	2	67026	ENSMUST00000189173.1	376
chr1	95667026	95668333	1308	*	Promoter (<=1kb)	1	95587682	95667571	79890	2	20452	ENSMUST00000043336.10	0
chr1	96871786	96872586	801	*	Promoter (<=1kb)	1	96816270	96872171	55902	2	227394	ENSMUST00000071985.5	0
chr1	97662558	97662832	275	*	Promoter (<=1kb)	1	97643903	97662074	18172	2	52392	ENSMUST00000149927.1	-484
chr1	97976785	97977240	456	*	Promoter (<=1kb)	1	97933471	97977068	43598	2	18484	ENSMUST00000159428.7	0
chr1	98094736	98095401	666	*	Promoter (<=1kb)	1	97821094	98095621	274528	2	18484	ENSMUST00000058762.14	220
chr1	98095500	98096262	763	*	Promoter (<=1kb)	1	97821094	98095621	274528	2	18484	ENSMUST00000058762.14	0
chr1	105355637	105357107	1471	*	Promoter (<=1kb)	1	105356007	105361630	5624	1	100504568	ENSMUST00000181383.2	0
chr1	105780403	105780603	201	*	Promoter (<=1kb)	1	105780718	105847981	67264	1	21934	ENSMUST00000027559.7	-115
chr1	105780744	105781310	567	*	Promoter (<=1kb)	1	105780750	105814403	33654	1	21934	ENSMUST00000187812.1	0
chr1	106172240	106174309	2070	*	Promoter (<=1kb)	1	106171752	106394250	222499	1	98432	ENSMUST00000061047.6	488
chr1	106713575	106714946	1372	*	Promoter (<=1kb)	1	106538178	106714274	176097	2	12043	ENSMUST00000112751.1	0
chr1	118627622	118628614	993	*	Promoter (<=1kb)	1	118627945	118637766	9822	1	81879	ENSMUST00000190652.1	0
chr1	119053871	119054080	210	*	Promoter (<=1kb)	1	118834132	119053619	219488	2	14633	ENSMUST00000062483.14	-252
chr1	119421362	119421678	317	*	Promoter (<=1kb)	1	119415465	119422248	6784	2	16324	ENSMUST00000038765.5	570
chr1	119421910	119422176	267	*	Promoter (<=1kb)	1	119415465	119422248	6784	2	16324	ENSMUST00000038765.5	72
chr1	120072721	120073777	1057	*	Promoter (<=1kb)	1	120067377	120074074	6698	2	170706	ENSMUST00000056089.7	297
chr1	120073915	120074191	277	*	Promoter (<=1kb)	1	120067377	120074074	6698	2	170706	ENSMUST00000056089.7	0
chr1	127205000	127206757	1758	*	Promoter (<=1kb)	1	127205015	127388212	183198	1	107895	ENSMUST00000189427.6	0
chr1	127677349	127677503	155	*	Promoter (<=1kb)	1	127486558	127678021	191464	2	72160	ENSMUST00000160616.7	518
chr1	127677597	127678058	462	*	Promoter (<=1kb)	1	127486558	127678021	191464	2	72160	ENSMUST00000160616.7	0
chr1	128590935	128591189	255	*	Promoter (1-2kb)	1	128588199	128592290	4092	2	12767	ENSMUST00000052172.6	1101
chr1	128591310	128591672	363	*	Promoter (<=1kb)	1	128588199	128592290	4092	2	12767	ENSMUST00000052172.6	618
chr1	128591835	128592347	513	*	Promoter (<=1kb)	1	128588199	128592290	4092	2	12767	ENSMUST00000052172.6	0
chr1	130878235	130878406	172	*	Promoter (<=1kb)	1	130878331	130880790	2460	1	69169	ENSMUST00000145446.1	0
chr1	131096069	131097792	1724	*	Promoter (<=1kb)	1	131053700	131097826	44127	2	17164	ENSMUST00000016672.10	34
chr1	131244563	131245896	1334	*	Promoter (<=1kb)	1	131176410	131245258	68849	2	54354	ENSMUST00000027688.14	0
chr1	131524756	131525941	1186	*	Promoter (1-2kb)	1	131285251	131527347	242097	2	14270	ENSMUST00000097588.8	1406
